CLASS,COMID
"7",20206500.00000000000
"7",20206510.00000000000
"7",20206546.00000000000
"7",20206560.00000000000
"7",20206568.00000000000
"7",20206574.00000000000
"7",20206602.00000000000
"7",20206614.00000000000
"7",20206622.00000000000
"7",20206628.00000000000
"7",20206634.00000000000
"7",20206644.00000000000
"7",20206648.00000000000
"7",20206650.00000000000
"7",20206654.00000000000
"7",20206656.00000000000
"7",20206664.00000000000
"7",20206672.00000000000
"7",20206680.00000000000
"7",20206682.00000000000
"7",20206686.00000000000
"7",20206688.00000000000
"7",20206692.00000000000
"7",20206706.00000000000
"7",20206720.00000000000
"7",20206750.00000000000
"7",20206752.00000000000
"7",20206762.00000000000
"7",20206764.00000000000
"7",20206766.00000000000
"7",20206842.00000000000
"7",20206848.00000000000
"7",20207500.00000000000
"7",20208300.00000000000
"7",20208308.00000000000
"7",20208312.00000000000
"7",20208318.00000000000
"7",20208324.00000000000
"7",20208332.00000000000
"7",20208334.00000000000
"7",20208346.00000000000
"7",20208356.00000000000
"7",20208362.00000000000
"7",20208370.00000000000
"7",20208374.00000000000
"7",20208378.00000000000
"7",20208386.00000000000
"7",20208388.00000000000
"7",20208394.00000000000
"7",20208396.00000000000
"7",20208398.00000000000
"7",20208408.00000000000
"7",20208410.00000000000
"7",20208412.00000000000
"7",20208416.00000000000
"7",20208428.00000000000
"7",20208458.00000000000
"7",20208460.00000000000
"7",20208472.00000000000
"7",20208476.00000000000
"7",20208480.00000000000
"7",20208490.00000000000
"7",20208494.00000000000
"7",20208498.00000000000
"7",20208500.00000000000
"7",20208504.00000000000
"7",20208508.00000000000
"7",20208512.00000000000
"7",20208524.00000000000
"7",20208532.00000000000
"7",20208536.00000000000
"7",20208542.00000000000
"7",20208562.00000000000
"7",20208564.00000000000
"7",20208568.00000000000
"7",20208570.00000000000
"7",20208580.00000000000
"7",20208592.00000000000
"7",20209076.00000000000
"7",20209086.00000000000
"7",20209098.00000000000
"7",20214532.00000000000
"7",20214536.00000000000
"7",20214538.00000000000
"7",20214544.00000000000
"7",20214546.00000000000
"7",20214976.00000000000
"7",20214978.00000000000
"7",20214984.00000000000
"7",20214988.00000000000
"7",20214992.00000000000
"7",20214994.00000000000
"7",20214998.00000000000
"7",20215000.00000000000
"7",20215002.00000000000
"7",20215004.00000000000
"7",20215016.00000000000
"7",20215030.00000000000
"7",20215044.00000000000
"7",20215048.00000000000
"7",20215050.00000000000
"7",20215056.00000000000
"7",20215058.00000000000
"7",20215064.00000000000
"7",20215066.00000000000
"7",20215068.00000000000
"7",20215070.00000000000
"7",20215072.00000000000
"7",20215088.00000000000
"7",20215092.00000000000
"7",20215096.00000000000
"7",20215098.00000000000
"7",20215102.00000000000
"7",20215108.00000000000
"7",20215110.00000000000
"7",20215112.00000000000
"7",20215122.00000000000
"7",20215130.00000000000
"7",20215144.00000000000
"7",20215148.00000000000
"7",20215156.00000000000
"7",20215158.00000000000
"7",20215162.00000000000
"7",20215170.00000000000
"7",20215174.00000000000
"7",20215178.00000000000
"7",20215180.00000000000
"7",20215182.00000000000
"7",20215186.00000000000
"7",20215188.00000000000
"7",20215190.00000000000
"7",20215202.00000000000
"7",20215206.00000000000
"7",20215208.00000000000
"7",20215212.00000000000
"7",20215248.00000000000
"7",20215256.00000000000
"7",20215258.00000000000
"7",20215260.00000000000
"7",20215264.00000000000
"7",20215276.00000000000
"7",20215286.00000000000
"7",20215290.00000000000
"7",20215296.00000000000
"7",20215310.00000000000
"7",20215312.00000000000
"7",20215316.00000000000
"7",20215318.00000000000
"7",20215326.00000000000
"7",20215342.00000000000
"7",20215346.00000000000
"7",20215356.00000000000
"7",20215376.00000000000
"7",20215416.00000000000
"7",20215438.00000000000
"7",20215446.00000000000
"7",20215452.00000000000
"7",20215456.00000000000
"7",20215464.00000000000
"7",20215466.00000000000
"7",20215476.00000000000
"7",20215500.00000000000
"7",20215520.00000000000
"7",20215524.00000000000
"7",20215526.00000000000
"7",20215532.00000000000
"7",20215538.00000000000
"7",20215548.00000000000
"7",20215550.00000000000
"7",20215556.00000000000
"7",20215578.00000000000
"7",20215596.00000000000
"7",20215624.00000000000
"7",20215648.00000000000
"7",20215658.00000000000
"7",20215672.00000000000
"7",20215696.00000000000
"7",20215750.00000000000
"7",20215766.00000000000
"7",20215800.00000000000
"7",20215806.00000000000
"7",20216062.00000000000
"7",20216066.00000000000
"7",20216072.00000000000
"7",20216078.00000000000
"7",20216082.00000000000
"7",20216086.00000000000
"7",20216088.00000000000
"7",20216094.00000000000
"7",20216116.00000000000
"7",20216118.00000000000
"7",20216128.00000000000
"7",20216130.00000000000
"7",20216140.00000000000
"7",20216148.00000000000
"7",20216150.00000000000
"7",20216152.00000000000
"7",20216230.00000000000
"7",20216266.00000000000
"7",20216276.00000000000
"7",20216360.00000000000
"7",20216676.00000000000
"7",20216684.00000000000
"7",20216686.00000000000
"7",20216690.00000000000
"7",20216692.00000000000
"7",20216712.00000000000
"7",20216714.00000000000
"7",20216720.00000000000
"7",20216724.00000000000
"7",20216726.00000000000
"7",20216728.00000000000
"7",20216734.00000000000
"7",20216736.00000000000
"7",20216738.00000000000
"7",20216740.00000000000
"7",20216742.00000000000
"7",20216754.00000000000
"7",20216758.00000000000
"7",20216764.00000000000
"7",20216766.00000000000
"7",20216768.00000000000
"7",20216770.00000000000
"7",20216788.00000000000
"7",20216792.00000000000
"7",20216796.00000000000
"7",20216800.00000000000
"7",20216802.00000000000
"7",20216804.00000000000
"7",20216808.00000000000
